iter	Passed	Remaining
0	9	9931
1	11	5786
2	13	4458
3	15	3805
4	16	3355
5	18	3039
6	19	2787
7	21	2619
8	22	2523
9	24	2420
10	25	2323
11	27	2291
12	29	2259
13	31	2218
14	32	2162
15	34	2127
16	36	2111
17	39	2145
18	41	2120
19	42	2096
20	44	2078
21	46	2052
22	47	2027
23	49	2029
24	51	2026
25	53	2019
26	55	1995
27	56	1969
28	58	1950
29	59	1935
30	61	1923
31	63	1913
32	64	1902
33	66	1899
34	68	1886
35	70	1881
36	72	1878
37	74	1881
38	82	2021
39	83	2006
40	85	1992
41	86	1981
42	88	1976
43	90	1971
44	92	1962
45	93	1948
46	95	1934
47	97	1925
48	98	1917
49	100	1909
50	102	1898
51	103	1891
52	105	1890
53	107	1882
54	108	1872
55	110	1866
56	113	1872
57	114	1865
58	116	1855
59	117	1846
60	119	1840
61	121	1833
62	122	1828
63	124	1819
64	126	1813
65	127	1810
66	129	1805
67	131	1797
68	132	1788
69	134	1785
70	136	1781
71	137	1776
72	139	1769
73	141	1766
74	143	1766
75	145	1764
76	146	1758
77	148	1753
78	150	1749
79	151	1745
80	153	1740
81	154	1734
82	156	1724
83	158	1724
84	159	1720
85	161	1716
86	163	1713
87	164	1708
88	166	1702
89	167	1698
90	169	1693
91	171	1693
92	173	1688
93	174	1686
94	176	1681
95	178	1683
96	180	1682
97	182	1680
98	184	1674
99	185	1672
100	187	1667
101	189	1664
102	190	1662
103	192	1659
104	194	1661
105	196	1659
106	198	1655
107	200	1652
108	201	1649
109	203	1646
110	205	1642
111	206	1637
112	208	1634
113	210	1634
114	211	1631
115	213	1626
116	214	1622
117	216	1619
118	218	1614
119	219	1611
120	221	1606
121	222	1601
122	224	1599
123	225	1595
124	227	1593
125	229	1591
126	231	1587
127	233	1587
128	234	1585
129	236	1581
130	238	1580
131	240	1578
132	241	1575
133	243	1573
134	245	1571
135	247	1570
136	248	1567
137	250	1564
138	252	1562
139	253	1559
140	255	1555
141	256	1550
142	258	1547
143	259	1545
144	261	1542
145	262	1538
146	264	1534
147	265	1531
148	268	1531
149	270	1531
150	271	1528
151	273	1525
152	275	1524
153	277	1522
154	278	1518
155	280	1517
156	282	1517
157	284	1515
158	285	1512
159	287	1508
160	288	1503
161	290	1502
162	292	1500
163	293	1496
164	295	1492
165	296	1489
166	298	1487
167	300	1486
168	301	1483
169	303	1480
170	304	1477
171	306	1475
172	308	1472
173	309	1469
174	310	1466
175	312	1462
176	313	1459
177	315	1456
178	316	1453
179	318	1449
180	319	1447
181	321	1445
182	323	1443
183	324	1440
184	326	1438
185	328	1435
186	329	1433
187	331	1430
188	332	1426
189	333	1423
190	335	1422
191	337	1420
192	339	1417
193	340	1414
194	342	1411
195	343	1409
196	345	1406
197	346	1404
198	348	1403
199	350	1400
200	351	1398
201	353	1395
202	354	1392
203	356	1392
204	358	1391
205	360	1388
206	361	1385
207	363	1384
208	365	1382
209	366	1380
210	368	1377
211	369	1374
212	371	1372
213	373	1371
214	374	1369
215	376	1366
216	377	1363
217	379	1361
218	381	1360
219	383	1359
220	385	1357
221	386	1355
222	388	1354
223	390	1352
224	391	1349
225	393	1346
226	394	1344
227	396	1342
228	398	1340
229	399	1337
230	401	1335
231	403	1334
232	405	1333
233	406	1330
234	408	1328
235	412	1334
236	414	1333
237	417	1337
238	419	1335
239	421	1333
240	422	1331
241	424	1328
242	425	1326
243	427	1324
244	429	1322
245	430	1320
246	432	1318
247	434	1316
248	435	1313
249	437	1311
250	438	1308
251	440	1307
252	442	1305
253	443	1303
254	445	1301
255	448	1302
256	450	1301
257	452	1300
258	453	1298
259	456	1297
260	457	1295
261	459	1293
262	460	1290
263	463	1291
264	465	1291
265	467	1289
266	468	1287
267	470	1285
268	472	1284
269	474	1282
270	476	1281
271	478	1280
272	480	1279
273	482	1278
274	484	1278
275	487	1279
276	489	1276
277	490	1274
278	492	1273
279	494	1271
280	496	1269
281	497	1267
282	499	1266
283	501	1264
284	503	1262
285	504	1260
286	506	1259
287	508	1257
288	511	1257
289	513	1256
290	514	1254
291	516	1252
292	518	1250
293	519	1248
294	521	1247
295	523	1245
296	525	1243
297	526	1240
298	528	1238
299	530	1237
300	531	1234
301	533	1233
302	535	1230
303	539	1234
304	540	1232
305	547	1241
306	549	1240
307	555	1248
308	557	1246
309	559	1245
310	561	1243
311	572	1262
312	580	1275
313	584	1276
314	585	1273
315	587	1271
316	589	1269
317	592	1270
318	594	1268
319	595	1266
320	600	1270
321	602	1268
322	604	1267
323	607	1267
324	611	1269
325	613	1267
326	615	1266
327	617	1264
328	620	1266
329	623	1265
330	624	1263
331	626	1260
332	627	1257
333	629	1255
334	631	1253
335	632	1250
336	634	1247
337	635	1244
338	637	1243
339	639	1241
340	641	1239
341	642	1236
342	644	1235
343	646	1232
344	648	1230
345	649	1228
346	651	1226
347	653	1223
348	654	1221
349	656	1218
350	658	1216
351	663	1220
352	665	1219
353	667	1218
354	672	1221
355	674	1219
356	675	1217
357	677	1215
358	679	1212
359	680	1209
360	682	1207
361	684	1205
362	685	1203
363	687	1200
364	688	1198
365	690	1196
366	692	1194
367	694	1192
368	695	1189
369	697	1187
370	698	1184
371	700	1182
372	701	1179
373	703	1177
374	705	1175
375	706	1172
376	708	1170
377	709	1168
378	712	1166
379	713	1164
380	715	1162
381	717	1160
382	718	1157
383	720	1155
384	722	1153
385	723	1151
386	725	1149
387	727	1147
388	729	1145
389	730	1143
390	732	1140
391	734	1138
392	735	1136
393	737	1133
394	738	1131
395	740	1128
396	741	1126
397	743	1124
398	744	1121
399	746	1119
400	747	1116
401	749	1114
402	750	1112
403	752	1109
404	753	1107
405	754	1104
406	756	1101
407	757	1099
408	759	1097
409	760	1094
410	762	1092
411	764	1090
412	765	1088
413	767	1086
414	768	1083
415	769	1080
416	771	1078
417	773	1076
418	774	1074
419	776	1071
420	777	1069
421	779	1067
422	780	1064
423	782	1062
424	783	1059
425	784	1057
426	786	1055
427	787	1053
428	789	1050
429	791	1048
430	792	1046
431	794	1044
432	795	1042
433	797	1039
434	798	1037
435	800	1035
436	802	1033
437	803	1031
438	805	1029
439	806	1026
440	808	1024
441	810	1022
442	811	1020
443	813	1018
444	814	1015
445	816	1013
446	817	1011
447	819	1009
448	820	1007
449	822	1005
450	823	1002
451	825	1000
452	827	998
453	828	996
454	830	994
455	831	992
456	833	990
457	834	988
458	836	986
459	838	984
460	840	982
461	841	980
462	843	978
463	844	976
464	846	974
465	848	972
466	850	970
467	852	969
468	854	967
469	856	965
470	857	963
471	859	961
472	861	959
473	863	958
474	864	955
475	866	953
476	868	952
477	870	951
478	873	949
479	875	948
480	877	946
481	879	945
482	880	943
483	882	941
484	884	939
485	886	937
486	887	935
487	890	934
488	892	932
489	894	930
490	895	928
491	897	926
492	899	924
493	901	922
494	902	920
495	906	921
496	909	920
497	911	918
498	914	917
499	916	916
500	917	914
501	919	912
502	921	910
503	923	909
504	925	907
505	927	905
506	929	903
507	930	901
508	932	899
509	933	897
510	935	895
511	937	893
512	939	891
513	940	889
514	942	887
515	944	885
516	945	883
517	947	881
518	948	879
519	950	877
520	952	875
521	954	873
522	955	871
523	957	869
524	959	867
525	960	865
526	962	863
527	963	861
528	965	859
529	967	857
530	968	855
531	970	853
532	971	851
533	973	849
534	975	847
535	976	845
536	978	843
537	979	841
538	981	839
539	982	836
540	983	834
541	985	832
542	986	830
543	988	828
544	989	826
545	991	824
546	992	822
547	994	820
548	995	818
549	997	816
550	999	814
551	1000	812
552	1002	810
553	1004	808
554	1005	806
555	1007	804
556	1008	802
557	1010	800
558	1011	798
559	1013	796
560	1014	794
561	1016	791
562	1017	790
563	1019	788
564	1020	785
565	1022	783
566	1023	781
567	1025	779
568	1026	777
569	1028	775
570	1030	773
571	1031	771
572	1033	770
573	1035	768
574	1037	766
575	1038	764
576	1040	762
577	1041	760
578	1043	758
579	1044	756
580	1046	754
581	1047	752
582	1049	750
583	1050	748
584	1052	746
585	1053	744
586	1055	742
587	1056	740
588	1058	738
589	1059	736
590	1061	734
591	1062	732
592	1064	730
593	1066	728
594	1067	726
595	1068	724
596	1070	722
597	1072	721
598	1074	719
599	1075	717
600	1077	715
601	1079	713
602	1080	711
603	1082	709
604	1083	707
605	1085	705
606	1087	703
607	1088	701
608	1090	699
609	1091	697
610	1093	696
611	1095	694
612	1096	692
613	1098	690
614	1100	688
615	1102	687
616	1103	685
617	1105	683
618	1106	681
619	1108	679
620	1109	677
621	1111	675
622	1113	673
623	1114	671
624	1117	670
625	1118	668
626	1119	666
627	1121	664
628	1123	662
629	1124	660
630	1126	658
631	1128	656
632	1129	655
633	1132	653
634	1133	651
635	1135	649
636	1137	648
637	1139	646
638	1140	644
639	1142	642
640	1144	640
641	1146	639
642	1147	637
643	1149	635
644	1150	633
645	1152	631
646	1154	629
647	1155	627
