iter	Passed	Remaining
648	1157	626
649	1159	624
650	1160	622
651	1162	620
652	1164	618
653	1165	616
654	1167	614
655	1169	613
656	1170	611
657	1172	609
658	1173	607
659	1175	605
660	1177	603
661	1178	601
662	1180	599
663	1181	598
664	1183	596
665	1185	594
666	1186	592
667	1188	590
668	1189	588
669	1191	586
670	1193	585
671	1194	583
672	1196	581
673	1198	579
674	1200	578
675	1202	576
676	1203	574
677	1205	572
678	1207	570
679	1209	568
680	1210	567
681	1212	565
682	1214	563
683	1215	561
684	1217	559
685	1218	557
686	1220	556
687	1222	554
688	1224	552
689	1225	550
690	1227	548
691	1229	547
692	1230	545
693	1232	543
694	1233	541
695	1235	539
696	1237	537
697	1238	535
698	1240	534
699	1242	532
700	1243	530
701	1245	528
702	1247	526
703	1248	525
704	1250	523
705	1252	521
706	1253	519
707	1255	517
708	1257	515
709	1258	514
710	1260	512
711	1261	510
712	1263	508
713	1265	506
714	1267	505
715	1268	503
716	1270	501
717	1271	499
718	1274	498
719	1276	496
720	1278	494
721	1280	493
722	1282	491
723	1283	489
724	1285	487
725	1288	486
726	1290	484
727	1291	482
728	1293	480
729	1295	479
730	1297	477
731	1299	475
732	1300	473
733	1302	472
734	1304	470
735	1307	468
736	1309	467
737	1311	465
738	1313	463
739	1314	461
740	1317	460
741	1319	458
742	1320	456
743	1322	454
744	1324	453
745	1325	451
746	1327	449
747	1328	447
748	1330	445
749	1332	444
750	1334	442
751	1336	440
752	1337	438
753	1339	436
754	1341	435
755	1343	433
756	1344	431
757	1346	429
758	1348	428
759	1350	426
760	1351	424
761	1353	422
762	1355	420
763	1356	419
764	1358	417
765	1360	415
766	1362	413
767	1363	411
768	1365	410
769	1366	408
770	1368	406
771	1370	404
772	1371	402
773	1373	400
774	1374	399
775	1376	397
776	1378	395
777	1379	393
778	1381	391
779	1382	389
780	1384	388
781	1385	386
782	1387	384
783	1388	382
784	1390	380
785	1392	379
786	1394	377
787	1396	375
788	1398	373
789	1400	372
790	1401	370
791	1402	368
792	1404	366
793	1405	364
794	1407	362
795	1409	361
796	1410	359
797	1412	357
798	1413	355
799	1415	353
800	1417	352
801	1418	350
802	1420	348
803	1422	346
804	1423	344
805	1425	343
806	1426	341
807	1428	339
808	1430	337
809	1431	335
810	1433	334
811	1434	332
812	1436	330
813	1438	328
814	1440	326
815	1441	325
816	1443	323
817	1444	321
818	1446	319
819	1448	317
820	1449	316
821	1451	314
822	1453	312
823	1455	310
824	1457	309
825	1459	307
826	1461	305
827	1463	303
828	1464	302
829	1466	300
830	1468	298
831	1469	296
832	1471	295
833	1473	293
834	1475	291
835	1477	289
836	1478	287
837	1480	286
838	1482	284
839	1483	282
840	1485	280
841	1487	279
842	1488	277
843	1490	275
844	1492	273
845	1493	271
846	1495	270
847	1496	268
848	1498	266
849	1500	264
850	1501	262
851	1503	261
852	1505	259
853	1507	257
854	1508	255
855	1510	254
856	1511	252
857	1513	250
858	1515	248
859	1516	246
860	1518	245
861	1520	243
862	1522	241
863	1523	239
864	1524	238
865	1526	236
866	1528	234
867	1530	232
868	1531	230
869	1533	229
870	1535	227
871	1536	225
872	1538	223
873	1539	221
874	1541	220
875	1543	218
876	1545	216
877	1546	214
878	1548	213
879	1550	211
880	1552	209
881	1553	207
882	1555	206
883	1556	204
884	1558	202
885	1559	200
886	1561	198
887	1562	197
888	1564	195
889	1566	193
890	1567	191
891	1569	190
892	1571	188
893	1572	186
894	1574	184
895	1576	182
896	1577	181
897	1579	179
898	1581	177
899	1582	175
900	1584	174
901	1585	172
902	1587	170
903	1589	168
904	1591	167
905	1592	165
906	1594	163
907	1596	161
908	1597	159
909	1599	158
910	1600	156
911	1602	154
912	1604	152
913	1605	151
914	1607	149
915	1608	147
916	1611	145
917	1612	144
918	1614	142
919	1615	140
920	1617	138
921	1619	136
922	1620	135
923	1621	133
924	1623	131
925	1625	129
926	1626	128
927	1628	126
928	1630	124
929	1632	122
930	1633	121
931	1635	119
932	1636	117
933	1638	115
934	1640	114
935	1641	112
936	1643	110
937	1644	108
938	1646	106
939	1648	105
940	1649	103
941	1651	101
942	1652	99
943	1654	98
944	1655	96
945	1657	94
946	1658	92
947	1660	91
948	1662	89
949	1663	87
950	1665	85
951	1666	84
952	1668	82
953	1669	80
954	1671	78
955	1673	77
956	1675	75
957	1676	73
958	1678	71
959	1680	70
960	1682	68
961	1683	66
962	1685	64
963	1687	63
964	1688	61
965	1690	59
966	1692	57
967	1693	55
968	1695	54
969	1696	52
970	1698	50
971	1700	48
972	1701	47
973	1703	45
974	1705	43
975	1706	41
976	1708	40
977	1710	38
978	1711	36
979	1713	34
980	1715	33
981	1717	31
982	1718	29
983	1720	27
984	1722	26
985	1723	24
986	1725	22
987	1726	20
988	1728	19
989	1730	17
990	1731	15
991	1733	13
992	1734	12
993	1736	10
994	1738	8
995	1739	6
996	1741	5
997	1743	3
998	1744	1
999	1746	0
